"","iso2c","SI.POV.GINI","SI.POV.UMIC","SP.DYN.LE00.IN","SL.GDP.PCAP.EM.KD","NV.AGR.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.SRV.TOTL.ZS"
"84","LU",31.2157894736842,0.205263157894737,78.9388788898234,226614.137168804,0.448847078532798,7.24185203637266,14.0384440109032,75.3481681484845
"85","LV",35.8857142857143,7.52857142857143,71.1671993271657,45831.8769816354,3.99738360055644,12.2862352639824,21.7967157390448,62.944584029878
"86","MA",39.9,48.44,70.9966551724138,18494.1152408095,13.4981592936356,16.9635674824445,26.0207254239096,49.6155635668624
"87","MD",32.95,46.1181818181818,68.5745862068966,23098.5496642858,16.3117819752687,13.2198717342485,21.4961264015009,50.0121739656867
"88","ME",39.5,20.9,74.6131724137931,51148.9119650589,8.3483976548577,6.01750613294332,17.2184616159167,58.1491303497246
"89","MK",37.3555555555556,28.2777777777778,73.6759310344828,39546.2457246229,10.0275767741665,14.0587784238873,23.9242476271189,50.791805438229
"90","ML",40.55,95.05,51.540275862069,5415.83861956394,35.1393005475766,6.37001663196859,19.9049427145743,36.8525796047983
"91","MM",34.4,58.15,61.5764827586207,4984.25136878154,38.5918877247778,16.5761187518561,24.7016083796004,38.1852050936185
"92","MN",33,43.64,64.810551724138,17933.1374933139,19.6038430750801,9.40654564213308,30.9912047733319,40.1520495793646
"93","MR",39.2166666666667,73.4,61.6977586206897,19036.7442454144,22.2156875435648,8.08729909133039,30.2512013868274,40.9527198616129
"94","MT",29.1166666666667,0.475,79.3814356602187,75920.4042850947,1.76593780553476,14.0865956992502,24.1870673644043,62.939894344961
"95","MU",37,17.2333333333333,72.1026492851135,34912.9898382596,5.69504021190975,16.865236347949,23.9102935887625,58.330701802025
"96","MV",37,36.2666666666667,71.7863793103448,38086.088727502,5.74539903937632,2.90777151105344,10.4618341832606,73.0621072464792
"97","MW",48.975,95.975,51.1774827586207,2156.05984651148,31.4399549285083,12.1674261616313,17.0612249670823,42.8375661499456
"98","MX",50.2733333333333,38.4733333333333,74.1191034482758,44895.0734123855,3.84539257177243,17.4522828055453,31.9468361558022,59.3889588414645
"99","MY",45.4666666666667,15.5555555555556,73.4124482758621,44409.2452002106,10.3712491636992,25.8118268129786,42.4642325138061,48.0428195534875
"100","MZ",50.05,95.475,50.9470689655172,1958.743840723,25.7743258059764,11.5668353825365,17.9855715963258,46.8643752255145
"101","NA",61.1333333333333,64.2666666666667,56.9171724137931,29288.9652007348,8.59253285803116,10.9252739640382,26.4874636588205,57.7429827059107
"102","NE",37.5166666666667,96.6666666666667,52.8918275862069,2676.53865132942,35.2758440622309,8.49763499930299,21.05789414613,38.8306537032812
"103","NG",43.02,93.34,48.7683793103448,13183.0167013766,24.3382134441153,12.6728767325668,28.3493256181533,46.3495538601516
"104","NI",50.6,58.0166666666667,70.3294137931034,11729.4579245885,17.0568073463875,13.8268453314464,22.1867794114418,50.1639039649884
"105","NL",28.8235294117647,0.594117647058824,79.2554920100925,98947.3994167337,2.27705911547356,12.6645526709827,21.280844446842,66.5932265079691
"106","NO",27.1111111111111,0.4,79.712716568545,112678.529512737,1.84179941069633,8.40681855928205,32.6929213837823,53.9256063319977
"107","NP",37.2666666666667,90.2666666666667,63.8655172413793,4141.47635113975,34.8841036718871,7.1664917770136,16.7146261499346,42.4693603151318
"108","PA",53.8,28.4583333333333,75.7235517241379,44555.1688522094,5.10414107863711,9.64484241390958,22.1677040049581,68.9700365967302
"109","PE",48.3227272727273,39.4636363636364,72.1400689655172,17860.2999512551,7.40767129155248,15.1425971442801,31.4083665444179,52.4431912658392
"110","PG",43.85,87.65,60.3965172413793,9721.79062204829,26.2604778644966,5.37232784950108,34.0064305650083,44.367932202922
"111","PH",46.45,61.0333333333333,69.1124482758621,14365.2302722692,15.0772445723933,22.6555017341812,32.5389886933692,52.3837667341835
"112","PK",31.5545454545455,87,63.7502413793104,12062.0263266747,23.3570049243431,13.351215844078,20.2118732153333,49.6922642412731
"113","PL",33.3857142857143,4.11428571428571,74.5567703952902,48490.3723723777,3.13825672410771,16.4920776553286,29.2957133039144,55.7697321962228
